sample_id;E-301 Температура;90-100;100-110;60-70;110-120;пропан;н-бутан;140-150;и-бутан;и-пентан;н-пентан;Метан+этан из жидкости в Е-301;K-301 Темп-ра в хол. зоне;40-50;50-60;K-301 Температура верха
ПРОБА 2;76.9201750042392;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;9.74;4.89;1.97446633364111;3.86;2.89;2.71;0.0700664738653783;143.011335211708;0.348863075347693;0.128034046501748;91.1605930776231
ПРОБА 3;77.4170669787731;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;9.74;4.89;1.97446633364111;3.857;2.89;2.71;0.0700282735625866;143.012525518965;0.348863075347693;0.128034046501748;91.4230940271127
ПРОБА 4;77.840546722847;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;9.74;4.89;1.97446633364111;3.857;2.89;2.71;0.0700868815260011;143.022424049106;0.348863075347693;0.128034046501748;91.6468786304154
ПРОБА 5;78.2753525889726;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;9.74;4.89;1.97446633364111;3.857;2.89;2.71;0.0700689733846728;142.995119837191;0.348863075347693;0.128034046501748;91.8833292025789
ПРОБА 6;78.6992664636562;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;9.74;4.89;1.97446633364111;3.857;2.89;2.71;0.0700653085194512;143.004288052802;0.348863075347693;0.128034046501748;92.1097204552496
ПРОБА 7;79.1059854657999;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;9.74;4.89;1.97446633364111;3.857;2.89;2.71;0.0700649892968379;142.998763404623;0.348863075347693;0.128034046501748;92.3253698324934
ПРОБА 8;79.5051437180584;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;9.74;4.89;1.97446633364111;3.857;2.89;2.71;0.0700640356173679;142.999621655753;0.348863075347693;0.128034046501748;92.5316234391791
ПРОБА 9;79.8967951420799;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;9.74;4.89;1.97446633364111;3.857;2.89;2.71;0.0700597138517698;143.003587748431;0.348863075347693;0.128034046501748;92.7316085475877
ПРОБА 10;80.2720564293252;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;9.74;4.89;1.97446633364111;3.857;2.89;2.71;0.0700591746291169;142.99889804595;0.348863075347693;0.128034046501748;92.9249740407818
ПРОБА 11;77.6575473861886;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;9.84;4.89;1.97446633364111;3.857;2.89;2.71;0.0698616350046568;143.009684047815;0.348863075347693;0.128034046501748;91.5373405402088
