sample_id;Давление в E-301;Масса КГД из куба колонны;Вывод балансового избытка;520-540;K-301 Темп-ра в гор. зоне;Метан+этан из жидкости в Е-301;60-70;50-60;н-пентан;40-50
ПРОБА 2;1.66665012458691;196.078498990079;0.0999675102526988;0.0599838330012333;179.010336514917;0.0700664738653783;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 3;1.65607040746289;195.805308335678;0.0999577431616879;0.0599838330012333;178.99863011608;0.0700282735625866;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 4;1.64737710643419;195.827064366212;0.0999631637320328;0.0599838330012333;179.018314700364;0.0700868815260011;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 5;1.63819897664173;195.740874317295;0.0999650624582589;0.0599838330012333;178.997007460911;0.0700689733846728;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 6;1.62934832702497;195.615814490735;0.0999724870697904;0.0599838330012333;179.003946060868;0.0700653085194512;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 7;1.62076545464015;195.49350636523;0.0999697539653095;0.0599838330012333;178.999733884379;0.0700649892968379;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 8;1.61237216666145;195.369457092427;0.0999696240358088;0.0599838330012333;179.000376500733;0.0700640356173679;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 9;1.60416482697807;195.244473327223;0.0999738624588377;0.0599838330012333;179.003423118894;0.0700597138517698;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 10;1.59620466605404;195.121005369418;0.0999757767995287;0.0599838330012333;178.99983627877;0.0700591746291169;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 11;1.65087664882134;195.988716598094;0.100062882652595;0.0599838330012333;179.006548843779;0.0698616350046568;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 12;1.65684988139737;196.130140184763;0.10002005557099;0.0599838330012333;178.997856240617;0.0699393785960506;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 13;1.6624434601712;196.268459208659;0.10002185982959;0.0599838330012333;178.997309049971;0.0699458245129657;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 14;1.66287915329792;196.362482673345;0.0999963184460523;0.0599838330012333;179.013463750433;0.0700094768438356;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 15;1.64817320955036;195.8719774639;0.099948503509117;0.0599838330012333;179.015062402369;0.0701326785787373;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 17;1.64685105154442;195.775656980656;0.0999927736636347;0.0599838330012333;178.964169698766;0.0700040011844643;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 16;1.64662230820951;195.663934059798;0.100004130161924;0.0599838330012333;179.007041480281;0.0699905251389632;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 19;1.61992484502037;196.1988541474;0.0999652818801618;0.0599838330012333;178.999767018909;0.0700667316550699;3.59503321466534;0.128034046501748;2.81;0.348863075347693
ПРОБА 18;1.65700488116698;196.448366720255;0.100040959249191;0.0599838330012333;179.003339987115;0.0699125731307594;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 20;1.71511483924626;198.808240594135;0.100068242247341;0.0599838330012333;179.007854830122;0.0698474225092262;3.59503321466534;0.128034046501748;2.8;0.348863075347693
ПРОБА 21;1.63788505025806;195.816659277076;0.0999264726180939;0.0599838330012333;178.986826770118;0.0701554656298533;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 22;1.63020483509472;195.790618224726;0.099979498276283;0.0599838330012333;179.047230841991;0.0700308715056136;3.59503321466534;0.128034046501748;2.81;0.348863075347693
ПРОБА 23;1.64301151277694;196.006332715519;0.100010085962305;0.0599838330012333;179.02693714184;0.0698245146335505;3.59503321466534;0.128034046501748;3.01;0.348863075347693
ПРОБА 24;1.67770566775094;197.055138286163;0.100041180519233;0.0599838330012333;179.008238578918;0.0699193034665965;3.59503321466534;0.128034046501748;3.31;0.348863075347693
